salesgrwoth,ltassets,gdpgrowth,debtassets,roa,liquidity,lemployee
-0.012446,4.20583,6.02,0.307103281,0.015403,7.10312,2.16435
-0.268054,4.16616,-3.59,0.261032672,-0.072151,5.06189,2.09342
0.050834,4.15954,1.32,0.256042662,-0.029649,6.02024,2.08279
-0.127178,4.11431,1.91,0.24548459,-0.023242,6.45797,2.0569
-0.065554,4.13941,0.03,0.317881756,-0.041773,3.75287,2.06446
0.154153,3.7074,7.34,0.00549235,0.610381,5.00708,1.30103
0.254671,3.83645,6.02,0,0.629895,5.78911,1.32222
0.016547,3.89243,-3.59,0.001537279,0.635377,6.18096,1.44716
0.072165,3.96914,1.32,0.000322096,0.760628,10.6283,1.57978
-0.130567,3.99065,1.91,0,0.682189,13.6809,1.59106
-0.04773,4.02539,0.03,0,0.716993,4.95444,1.5682
0.19596,4.48194,7.34,0.555958464,0.006222,1.14973,2.56937
-0.079802,4.3772,6.02,0.324536377,-0.145862,0.531482,2.56937
-0.494902,4.38817,-3.59,0.323964981,-0.4983,0.214817,2.50515
0.451764,4.51246,1.32,0.286789786,-0.188085,0.15519,2.47857
0.967067,4.56949,1.91,0.467475074,-0.361932,0.401934,2.4609
0.896276,4.20884,7.34,0.125069552,0.075516,3.04113,2.64345
0.148335,4.27168,6.02,0,0.101321,6.25841,2.65514
-0.459229,4.27563,-3.59,0,0.102199,7.81944,2.54158
0.660695,4.3523,1.32,0.010841553,0.105754,7.78005,2.54531
0.073921,4.34313,1.91,0.008622254,0.071801,8.72046,2.58433
-0.697589,3.2403,7.34,0.311673376,0.014396,1.55444,0.845098
-0.988926,4.06748,6.02,0,13.8,15.6496,0.954243
35.3,4.05296,-3.59,0,-1.04959,6.44523,1
1.11295,4.09792,1.32,0,-0.303781,1.5634,1
0.199478,3.96289,1.91,0,-2.86522,5.49777,1.04139
0.330462,3.16997,7.34,0.091954023,0.061212,4.22222,1.99564
0.092996,3.17609,6.02,0.098,-0.028002,6.63542,1.95904
-0.521271,3.10585,-3.59,0.07523511,-0.105737,6.78481,1.89763
0.63667,3.11661,1.32,0.051223242,0.010309,6.77528,1.83885
0.145017,3.12646,1.91,0.025411061,0.04982,4.49664,1.86332
0.277914,4.16128,7.34,0.104918259,0.096869,4.16633,2.44404
0.088052,4.21455,6.02,0.065592776,0.033659,1.65791,2.42651
-0.059007,4.18293,-3.59,0.042590891,0.059174,2.11916,2.43933
0.149592,4.25457,1.32,0.12002671,0.070297,1.5014,2.43775
0.017094,4.23004,1.91,0.103273669,0.057218,2.63861,2.43297
0.46808,3.87593,7.34,0.022754491,0.039011,1.58757,2.55267
-0.072606,3.9145,6.02,0.01412395,0.04435,1.85808,2.49136
0.281845,4.12603,-3.59,0.003441311,0.218026,2.25056,2.53148
-0.534302,4.13602,1.32,0.001315982,0.032185,2.3154,2.50651
0.261307,4.11611,1.91,0.013318025,0.02518,2.3404,2.49136
-0.292636,4.03969,7.34,0.087980287,-0.330841,1.10213,2.45788
0.482501,3.70355,6.02,0,-0.764326,3.13557,1.96379
-0.821832,3.62325,-3.59,0,-0.682899,2.49327,1.65321
0.080408,3.59384,1.32,0,-0.618449,1.80762,1.68124
0.103774,3.49872,1.91,0.000634317,-0.223172,2.03158,1.5563
0.198192,3.7801,7.34,0.390575742,-0.116379,2.48822,1.86923
-0.58944,3.7888,6.02,0.449991869,-0.5,2.91192,1.60206
2.12467,3.67888,-3.59,0.514243821,-0.092398,18.6143,1.07918
-0.779924,3.67843,1.32,0.513734536,-0.196565,12.2816,0.90309
-0.826336,3.61542,1.91,0.491636364,-2.92308,3.05667,0.90309
0.143071,4.48925,7.34,0,0.110487,1.01873,2.45484
-0.487287,4.34643,6.02,0.159430733,0.006598,1.06222,2.22272
-0.803554,4.42174,-3.59,0.658058164,-1.66251,3.74227,2.14922
1.40737,4.19634,1.32,0.540977348,-0.235149,1.44513,2.01284
-0.19937,4.11441,1.91,0.662133087,-0.484542,1.19234,2.1038
0.425024,5.02048,7.34,0,0.06455,1.29382,2.5977
0.036192,5.11419,6.02,0.004220642,0.004168,1.21139,2.60423
0.172814,5.04174,-3.59,0.065902423,0.000964,1.2311,2.60746
0.375117,5.00969,1.32,0.040231965,0.071453,1.49016,2.66558
0.199102,5.05112,1.91,0.097411371,0.020292,1.26708,2.67025
2.06384,4.80443,7.34,0,-0.011442,6.63752,1.63347
-0.964564,4.75955,6.02,0,-5.50986,2.01232,1.41497
0.294358,4.68055,-3.59,0,-3.15494,1.38221,1.41497
-0.463235,4.64652,1.32,0,-4.84051,0.977367,1.59106
1.07534,4.59933,1.91,0.00083021,-0.670438,0.835207,1.5682
0.101177,4.87765,7.86,0.033691633,0.146366,4.93274,2.60746
0.252685,4.92345,7.76,0.08596238,0.107348,3.22368,2.56937
0.420238,5.01992,7.3,0.084341838,0.097341,1.46485,2.57519
-0.017782,5.0526,6.9,0.047122506,0.09967,1.32367,2.51851
-0.004875,5.05433,6.7,0,0.156431,1.88535,2.67943
0.025846,5.22256,7.86,0.00171319,0.373021,2.86133,2.5832
-0.077186,5.09817,7.76,0.002305324,0.343838,1.36168,2.61595
-0.095121,5.26912,7.3,0.001598209,0.318724,2.30027,2.60959
0.085247,5.35609,6.9,0.141991323,0.31452,0.627499,2.60746
-0.204472,5.63923,6.7,0,0.294444,5.79213,2.69285
0.127891,5.26128,7.86,0.075996669,0.047057,2.08806,2.61278
-0.042791,5.33716,7.76,0.07702288,0.288071,3.60332,2.62839
-0.087872,5.35722,7.3,0.090200988,0.064442,4.55006,2.58546
-0.044125,5.36078,6.9,0.101346847,0.042098,5.2159,2.54283
-0.126183,5.33397,6.7,0.070231138,0.022308,6.53723,2.47567
-0.34416,5.14971,9.54,0.68946097,0.117895,0.046818,2.40312
-0.957409,4.48491,7.86,0,37.7639,1.02152,2.43297
1.72618,4.71344,7.76,0,0.147878,0.34063,2.44871
0.71884,4.77503,7.3,0.665491598,-0.68324,0.13378,2.50515
-0.052067,4.78229,6.9,0.728485349,0.079679,0.17716,2.44091
0.612565,4.72495,6.7,0.874985871,-0.317959,0.655223,2.29447
0.564022,5.45335,10.64,0.330077706,0.02706,1.08792,2.69197
0.348141,5.57207,9.54,0.406699526,0.022269,1.05104,2.68842
0.437504,5.67257,7.86,0.417034707,0.022903,1.03417,2.65992
0.344593,5.74324,7.76,0.402564797,0.02361,1.03394,2.67669
0.086882,5.81167,7.3,0.227332058,0.027041,1.0459,2.6149
0.290914,6.00657,6.9,0.169708,0.030092,1.15873,2.61805
0.668986,6.16125,6.7,0.18785,0.021377,1.30037,2.68931
0.437773,5.39168,7.86,0.361857456,0.016703,2.43527,2.43775
-0.062417,5.42904,7.76,0.330271301,0.01473,1.91426,2.47567
0.711334,5.57916,7.3,0.410239314,0.022991,1.39705,2.47857
-0.270228,5.46345,6.9,0.361723426,0.021421,1.76995,2.44404
-0.568125,5.35794,6.7,0.309133253,0.007934,2.58116,2.35793
1.04824,5.37325,7.86,0.244578425,0.041224,3.09741,2.50243
-0.02575,5.56216,7.76,0.420167998,0.045196,1.48638,2.53908
-0.138978,5.5889,7.3,0.415300251,0.035901,1.60375,2.52892
-0.032745,5.65053,6.9,0.511149719,0.01532,1.46161,2.58546
-0.2489,5.64709,6.7,0.416724701,0.019784,1.36712,2.59988
-0.191286,5.07081,7.86,0,0.127121,8.73032,2.04922
-0.536208,5.07323,7.76,0,0.189507,11.0605,2.04922
-0.562455,5.05406,7.3,0,-3.22064,7.36294,1.95904
-0.175367,5.08246,6.9,0,5.87933,7.41228,1.98227
0.003956,5.03753,6.7,0,1.07931,11.703,1.96848
-0.78032,4.32742,14.23,0.203782995,0.070719,0.681243,2.07555
-0.092861,4.24546,9.65,0,-0.476923,0.205795,1.91381
-0.189201,4.27089,9.4,0.102095504,-0.420361,0.139216,1.74819
-0.542054,4.22459,10.64,0.13099213,0.517928,0.161009,1
-0.533068,4.18449,9.54,0.14882626,0.741468,0.120759,1.17609
1.05546,4.13392,7.86,0,0.254878,1.24946,1.20412
-0.308842,4.10425,7.76,0,-0.708709,1.13468,1.14613
0.056456,4.1049,7.3,0,0.094372,1.28766,1.14613
-0.0722,4.1115,6.9,0,0.420956,1.5136,1.14613
0.023284,4.14953,6.7,0,0.954491,2.04437,1.14613
-0.129249,5.45036,7.86,0.431537226,0.059013,1.79019,2.56585
-0.118978,5.41733,7.76,0.498789291,-0.094715,1.57957,2.66932
0.28343,5.50378,7.3,0.495217763,0.01565,1.21509,2.66276
-0.10438,5.61226,6.9,0.304529171,0.003776,0.850425,2.55023
-0.596563,5.76108,6.7,0.123313982,-0.299637,1.42076,2.53782
-0.021371,5.13812,7.86,0.086697758,0.16098,3.65594,2.26717
-0.211507,5.19022,7.76,0.136726489,0.113528,3.12182,2.39445
-0.395347,5.17047,7.3,0.10039846,-0.157173,2.0733,2.41664
-0.107161,5.14147,6.9,0.069822682,-0.557709,1.47949,2.39445
1.70484,5.36158,6.7,0.032232951,0.074517,0.747357,2.52114
4.4922,4.09708,7.86,0,0.203163,0.085177,1.4624
0.077859,4.1181,7.76,0,0.136569,1.14497,1.43136
0.372837,4.30053,7.3,0.0810432,-0.025212,1.08875,1.59106
20.764,5.61499,6.9,0.035984683,0.224776,3.67773,1.91381
